method,document_id,split,gold_mentions,predicted_spans,span_tp,span_fp,span_fn,per_percent,text_retention
Raw prompt,001-60735,test,163,0,0,0,163,100.0,1.000
Raw prompt,001-57899,test,144,0,0,0,144,100.0,1.000
Raw prompt,001-89821,test,49,0,0,0,49,100.0,1.000
Raw prompt,001-59527,test,175,0,0,0,175,100.0,1.000
Raw prompt,001-91059,test,30,0,0,0,30,100.0,1.000
Raw prompt,001-110271,test,148,0,0,0,148,100.0,1.000
Raw prompt,001-170347,test,90,0,0,0,90,100.0,1.000
Raw prompt,001-95382,test,39,0,0,0,39,100.0,1.000
Raw prompt,001-61177,test,32,0,0,0,32,100.0,1.000
Raw prompt,001-84289,test,31,0,0,0,31,100.0,1.000
Raw prompt,001-93304,test,46,0,0,0,46,100.0,1.000
Raw prompt,001-91290,test,34,0,0,0,34,100.0,1.000
Raw prompt,001-89128,test,53,0,0,0,53,100.0,1.000
Raw prompt,001-79069,test,40,0,0,0,40,100.0,1.000
Raw prompt,001-79713,test,40,0,0,0,40,100.0,1.000
Raw prompt,001-61454,test,81,0,0,0,81,100.0,1.000
Raw prompt,001-57871,test,135,0,0,0,135,100.0,1.000
Raw prompt,001-68512,test,39,0,0,0,39,100.0,1.000
Raw prompt,001-94975,test,52,0,0,0,52,100.0,1.000
Raw prompt,001-68178,test,174,0,0,0,174,100.0,1.000
Raw prompt,001-114240,test,145,0,0,0,145,100.0,1.000
Raw prompt,001-72664,test,48,0,0,0,48,100.0,1.000
Raw prompt,001-83625,test,53,0,0,0,53,100.0,1.000
Raw prompt,001-88836,test,35,0,0,0,35,100.0,1.000
Raw prompt,001-57990,test,142,0,0,0,142,100.0,1.000
Raw prompt,001-57642,test,214,0,0,0,214,100.0,1.000
Raw prompt,001-67085,test,44,0,0,0,44,100.0,1.000
Raw prompt,001-94744,test,35,0,0,0,35,100.0,1.000
Raw prompt,001-96264,test,39,0,0,0,39,100.0,1.000
Raw prompt,001-78293,test,72,0,0,0,72,100.0,1.000
Raw prompt,001-79434,test,29,0,0,0,29,100.0,1.000
Raw prompt,001-92090,test,78,0,0,0,78,100.0,1.000
Raw prompt,001-78447,test,52,0,0,0,52,100.0,1.000
Raw prompt,001-95777,test,96,0,0,0,96,100.0,1.000
Raw prompt,001-59853,test,69,0,0,0,69,100.0,1.000
Raw prompt,001-60793,test,29,0,0,0,29,100.0,1.000
Raw prompt,001-90967,test,68,0,0,0,68,100.0,1.000
Raw prompt,001-87466,test,40,0,0,0,40,100.0,1.000
Raw prompt,001-94421,test,53,0,0,0,53,100.0,1.000
Raw prompt,001-82750,test,60,0,0,0,60,100.0,1.000
Raw prompt,001-79415,test,64,0,0,0,64,100.0,1.000
Raw prompt,001-93654,test,55,0,0,0,55,100.0,1.000
Raw prompt,001-77991,test,32,0,0,0,32,100.0,1.000
Raw prompt,001-94000,test,36,0,0,0,36,100.0,1.000
Raw prompt,001-73360,test,123,0,0,0,123,100.0,1.000
Raw prompt,001-84379,test,49,0,0,0,49,100.0,1.000
Raw prompt,001-95199,test,31,0,0,0,31,100.0,1.000
Raw prompt,001-90569,test,30,0,0,0,30,100.0,1.000
Raw prompt,001-60694,test,135,0,0,0,135,100.0,1.000
Raw prompt,001-58458,test,77,0,0,0,77,100.0,1.000
Raw prompt,001-79398,test,59,0,0,0,59,100.0,1.000
Raw prompt,001-87626,test,36,0,0,0,36,100.0,1.000
Raw prompt,001-78429,test,63,0,0,0,63,100.0,1.000
Raw prompt,001-150778,test,66,0,0,0,66,100.0,1.000
Raw prompt,001-58409,test,72,0,0,0,72,100.0,1.000
Raw prompt,001-90250,test,134,0,0,0,134,100.0,1.000
Raw prompt,001-57849,test,142,0,0,0,142,100.0,1.000
Raw prompt,001-76746,test,70,0,0,0,70,100.0,1.000
Raw prompt,001-67071,test,161,0,0,0,161,100.0,1.000
Raw prompt,001-78427,test,64,0,0,0,64,100.0,1.000
Raw prompt,001-85728,test,47,0,0,0,47,100.0,1.000
Raw prompt,001-158475,test,84,0,0,0,84,100.0,1.000
Raw prompt,001-76453,test,104,0,0,0,104,100.0,1.000
Raw prompt,001-92767,test,64,0,0,0,64,100.0,1.000
Raw prompt,001-58410,test,68,0,0,0,68,100.0,1.000
Raw prompt,001-90575,test,47,0,0,0,47,100.0,1.000
Raw prompt,001-80478,test,92,0,0,0,92,100.0,1.000
Raw prompt,001-83335,test,44,0,0,0,44,100.0,1.000
Raw prompt,001-85661,test,24,0,0,0,24,100.0,1.000
Raw prompt,001-84580,test,51,0,0,0,51,100.0,1.000
Raw prompt,001-119229,test,40,0,0,0,40,100.0,1.000
Raw prompt,001-87512,test,110,0,0,0,110,100.0,1.000
Raw prompt,001-90234,test,81,0,0,0,81,100.0,1.000
Raw prompt,001-90200,test,196,0,0,0,196,100.0,1.000
Raw prompt,001-57874,test,102,0,0,0,102,100.0,1.000
Raw prompt,001-86343,test,39,0,0,0,39,100.0,1.000
Raw prompt,001-105434,test,195,0,0,0,195,100.0,1.000
Raw prompt,001-91088,test,36,0,0,0,36,100.0,1.000
Raw prompt,001-91092,test,41,0,0,0,41,100.0,1.000
Raw prompt,001-91096,test,42,0,0,0,42,100.0,1.000
Raw prompt,001-92425,test,50,0,0,0,50,100.0,1.000
Raw prompt,001-61332,test,74,0,0,0,74,100.0,1.000
Raw prompt,001-76766,test,79,0,0,0,79,100.0,1.000
Raw prompt,001-84582,test,57,0,0,0,57,100.0,1.000
Raw prompt,001-82370,test,39,0,0,0,39,100.0,1.000
Raw prompt,001-87456,test,45,0,0,0,45,100.0,1.000
Raw prompt,001-83404,test,49,0,0,0,49,100.0,1.000
Raw prompt,001-79030,test,196,0,0,0,196,100.0,1.000
Raw prompt,001-61080,test,162,0,0,0,162,100.0,1.000
Raw prompt,001-60649,test,142,0,0,0,142,100.0,1.000
Raw prompt,001-60736,test,147,0,0,0,147,100.0,1.000
Raw prompt,001-59098,test,160,0,0,0,160,100.0,1.000
Raw prompt,001-147679,test,142,0,0,0,142,100.0,1.000
Raw prompt,001-76303,test,96,0,0,0,96,100.0,1.000
Raw prompt,001-57886,test,114,0,0,0,114,100.0,1.000
Raw prompt,001-57867,test,111,0,0,0,111,100.0,1.000
Raw prompt,001-67200,test,117,0,0,0,117,100.0,1.000
Raw prompt,001-61680,test,96,0,0,0,96,100.0,1.000
Raw prompt,001-58086,test,134,0,0,0,134,100.0,1.000
Raw prompt,001-60309,test,85,0,0,0,85,100.0,1.000
Raw prompt,001-79071,test,160,0,0,0,160,100.0,1.000
Raw prompt,001-60737,test,110,0,0,0,110,100.0,1.000
Raw prompt,001-75894,test,71,0,0,0,71,100.0,1.000
Raw prompt,001-81069,test,54,0,0,0,54,100.0,1.000
Raw prompt,001-80398,test,52,0,0,0,52,100.0,1.000
Raw prompt,001-58095,test,117,0,0,0,117,100.0,1.000
Raw prompt,001-101231,test,59,0,0,0,59,100.0,1.000
Raw prompt,001-59863,test,75,0,0,0,75,100.0,1.000
Raw prompt,001-57901,test,93,0,0,0,93,100.0,1.000
Raw prompt,001-68075,test,64,0,0,0,64,100.0,1.000
Raw prompt,001-59857,test,75,0,0,0,75,100.0,1.000
Raw prompt,001-66782,test,38,0,0,0,38,100.0,1.000
Raw prompt,001-58838,test,117,0,0,0,117,100.0,1.000
Raw prompt,001-81110,test,68,0,0,0,68,100.0,1.000
Raw prompt,001-83331,test,56,0,0,0,56,100.0,1.000
Raw prompt,001-94119,test,52,0,0,0,52,100.0,1.000
Raw prompt,001-68506,test,50,0,0,0,50,100.0,1.000
Raw prompt,001-79501,test,50,0,0,0,50,100.0,1.000
Raw prompt,001-79392,test,138,0,0,0,138,100.0,1.000
Raw prompt,001-90194,train,208,0,0,0,208,100.0,1.000
Raw prompt,001-84741,train,33,0,0,0,33,100.0,1.000
Raw prompt,001-91042,train,29,0,0,0,29,100.0,1.000
Raw prompt,001-73062,train,39,0,0,0,39,100.0,1.000
Raw prompt,001-162024,train,25,0,0,0,25,100.0,1.000
Raw prompt,001-70168,train,32,0,0,0,32,100.0,1.000
Raw prompt,001-83747,train,49,0,0,0,49,100.0,1.000
Raw prompt,001-70871,train,50,0,0,0,50,100.0,1.000
Raw prompt,001-84618,train,75,0,0,0,75,100.0,1.000
Raw prompt,001-166682,train,38,0,0,0,38,100.0,1.000
Raw prompt,001-107258,train,39,0,0,0,39,100.0,1.000
Raw prompt,001-93333,train,45,0,0,0,45,100.0,1.000
Raw prompt,001-66727,train,64,0,0,0,64,100.0,1.000
Raw prompt,001-93358,train,176,0,0,0,176,100.0,1.000
Raw prompt,001-92883,train,47,0,0,0,47,100.0,1.000
Raw prompt,001-94125,train,34,0,0,0,34,100.0,1.000
Raw prompt,001-88513,train,39,0,0,0,39,100.0,1.000
Raw prompt,001-99176,train,42,0,0,0,42,100.0,1.000
Raw prompt,001-126128,train,36,0,0,0,36,100.0,1.000
Raw prompt,001-90973,train,48,0,0,0,48,100.0,1.000
Raw prompt,001-80303,train,35,0,0,0,35,100.0,1.000
Raw prompt,001-92416,train,40,0,0,0,40,100.0,1.000
Raw prompt,001-93448,train,46,0,0,0,46,100.0,1.000
Raw prompt,001-59518,train,231,0,0,0,231,100.0,1.000
Raw prompt,001-83632,train,44,0,0,0,44,100.0,1.000
Raw prompt,001-83402,train,46,0,0,0,46,100.0,1.000
Raw prompt,001-107264,train,42,0,0,0,42,100.0,1.000
Raw prompt,001-80849,train,48,0,0,0,48,100.0,1.000
Raw prompt,001-70372,train,63,0,0,0,63,100.0,1.000
Raw prompt,001-86678,train,54,0,0,0,54,100.0,1.000
Raw prompt,001-61631,train,65,0,0,0,65,100.0,1.000
Raw prompt,001-94238,train,58,0,0,0,58,100.0,1.000
Raw prompt,001-79036,train,23,0,0,0,23,100.0,1.000
Raw prompt,001-151047,train,31,0,0,0,31,100.0,1.000
Raw prompt,001-77315,train,54,0,0,0,54,100.0,1.000
Raw prompt,001-86687,train,32,0,0,0,32,100.0,1.000
Raw prompt,001-57546,train,166,0,0,0,166,100.0,1.000
Raw prompt,001-80593,train,41,0,0,0,41,100.0,1.000
Raw prompt,001-92408,train,42,0,0,0,42,100.0,1.000
Raw prompt,001-61901,train,33,0,0,0,33,100.0,1.000
Raw prompt,001-60513,train,35,0,0,0,35,100.0,1.000
Raw prompt,001-83610,train,29,0,0,0,29,100.0,1.000
Raw prompt,001-72015,train,171,0,0,0,171,100.0,1.000
Raw prompt,001-77757,train,31,0,0,0,31,100.0,1.000
Raw prompt,001-61313,train,60,0,0,0,60,100.0,1.000
Raw prompt,001-88564,train,34,0,0,0,34,100.0,1.000
Raw prompt,001-97411,train,48,0,0,0,48,100.0,1.000
Raw prompt,001-96442,train,37,0,0,0,37,100.0,1.000
Raw prompt,001-67482,train,32,0,0,0,32,100.0,1.000
Raw prompt,001-72158,train,35,0,0,0,35,100.0,1.000
Raw prompt,001-90786,train,55,0,0,0,55,100.0,1.000
Raw prompt,001-70104,train,35,0,0,0,35,100.0,1.000
Raw prompt,001-90287,train,45,0,0,0,45,100.0,1.000
Raw prompt,001-92748,train,50,0,0,0,50,100.0,1.000
Raw prompt,001-77755,train,43,0,0,0,43,100.0,1.000
Raw prompt,001-90501,train,57,0,0,0,57,100.0,1.000
Raw prompt,001-88579,train,45,0,0,0,45,100.0,1.000
Raw prompt,001-78580,train,44,0,0,0,44,100.0,1.000
Raw prompt,001-86359,train,39,0,0,0,39,100.0,1.000
Raw prompt,001-94750,train,29,0,0,0,29,100.0,1.000
Raw prompt,001-81370,train,53,0,0,0,53,100.0,1.000
Raw prompt,001-159917,train,33,0,0,0,33,100.0,1.000
Raw prompt,001-87556,train,43,0,0,0,43,100.0,1.000
Raw prompt,001-76756,train,76,0,0,0,76,100.0,1.000
Raw prompt,001-66819,train,42,0,0,0,42,100.0,1.000
Raw prompt,001-89960,train,35,0,0,0,35,100.0,1.000
Raw prompt,001-94113,train,44,0,0,0,44,100.0,1.000
Raw prompt,001-97054,train,45,0,0,0,45,100.0,1.000
Raw prompt,001-95907,train,37,0,0,0,37,100.0,1.000
Raw prompt,001-99411,train,47,0,0,0,47,100.0,1.000
Raw prompt,001-60442,train,49,0,0,0,49,100.0,1.000
Raw prompt,001-76070,train,42,0,0,0,42,100.0,1.000
Raw prompt,001-159916,train,38,0,0,0,38,100.0,1.000
Raw prompt,001-69895,train,34,0,0,0,34,100.0,1.000
Raw prompt,001-72154,train,62,0,0,0,62,100.0,1.000
Raw prompt,001-66736,train,53,0,0,0,53,100.0,1.000
Raw prompt,001-88723,train,37,0,0,0,37,100.0,1.000
Raw prompt,001-94129,train,44,0,0,0,44,100.0,1.000
Raw prompt,001-61365,train,57,0,0,0,57,100.0,1.000
Raw prompt,001-86006,train,33,0,0,0,33,100.0,1.000
Raw prompt,001-101952,train,44,0,0,0,44,100.0,1.000
Raw prompt,001-94748,train,50,0,0,0,50,100.0,1.000
Raw prompt,001-147269,train,37,0,0,0,37,100.0,1.000
Raw prompt,001-114965,train,90,0,0,0,90,100.0,1.000
Raw prompt,001-91633,train,48,0,0,0,48,100.0,1.000
Raw prompt,001-94446,train,82,0,0,0,82,100.0,1.000
Raw prompt,001-101862,train,37,0,0,0,37,100.0,1.000
Raw prompt,001-86685,train,58,0,0,0,58,100.0,1.000
Raw prompt,001-93088,train,50,0,0,0,50,100.0,1.000
Raw prompt,001-84048,train,47,0,0,0,47,100.0,1.000
Raw prompt,001-57826,train,137,0,0,0,137,100.0,1.000
Raw prompt,001-104543,train,27,0,0,0,27,100.0,1.000
Raw prompt,001-88897,train,50,0,0,0,50,100.0,1.000
Raw prompt,001-88721,train,33,0,0,0,33,100.0,1.000
Raw prompt,001-60945,train,69,0,0,0,69,100.0,1.000
Raw prompt,001-66833,train,42,0,0,0,42,100.0,1.000
Raw prompt,001-108973,train,27,0,0,0,27,100.0,1.000
Raw prompt,001-61379,train,50,0,0,0,50,100.0,1.000
Raw prompt,001-85000,train,33,0,0,0,33,100.0,1.000
Raw prompt,001-99391,train,49,0,0,0,49,100.0,1.000
Raw prompt,001-61830,train,55,0,0,0,55,100.0,1.000
Raw prompt,001-61682,train,56,0,0,0,56,100.0,1.000
Raw prompt,001-163811,train,43,0,0,0,43,100.0,1.000
Raw prompt,001-150788,train,353,0,0,0,353,100.0,1.000
Raw prompt,001-85559,train,39,0,0,0,39,100.0,1.000
Raw prompt,001-114097,train,132,0,0,0,132,100.0,1.000
Raw prompt,001-60940,train,203,0,0,0,203,100.0,1.000
Raw prompt,001-82319,train,94,0,0,0,94,100.0,1.000
Raw prompt,001-78289,train,95,0,0,0,95,100.0,1.000
Raw prompt,001-106918,train,154,0,0,0,154,100.0,1.000
Raw prompt,001-104653,train,96,0,0,0,96,100.0,1.000
Raw prompt,001-78435,train,140,0,0,0,140,100.0,1.000
Raw prompt,001-82290,train,67,0,0,0,67,100.0,1.000
Raw prompt,001-111966,train,50,0,0,0,50,100.0,1.000
Raw prompt,001-86681,train,87,0,0,0,87,100.0,1.000
Raw prompt,001-106202,train,138,0,0,0,138,100.0,1.000
Raw prompt,001-87558,train,99,0,0,0,99,100.0,1.000
Raw prompt,001-146408,train,44,0,0,0,44,100.0,1.000
Raw prompt,001-71942,train,106,0,0,0,106,100.0,1.000
Raw prompt,001-91552,train,58,0,0,0,58,100.0,1.000
Raw prompt,001-59097,train,110,0,0,0,110,100.0,1.000
Raw prompt,001-82173,train,99,0,0,0,99,100.0,1.000
Raw prompt,001-140021,train,112,0,0,0,112,100.0,1.000
Raw prompt,001-77919,train,62,0,0,0,62,100.0,1.000
Raw prompt,001-61561,train,80,0,0,0,80,100.0,1.000
Raw prompt,001-75150,train,86,0,0,0,86,100.0,1.000
Raw prompt,001-57976,train,69,0,0,0,69,100.0,1.000
Raw prompt,001-95203,train,57,0,0,0,57,100.0,1.000
Raw prompt,001-99172,train,117,0,0,0,117,100.0,1.000
Raw prompt,001-91115,train,126,0,0,0,126,100.0,1.000
Raw prompt,001-122497,train,43,0,0,0,43,100.0,1.000
Raw prompt,001-79067,train,75,0,0,0,75,100.0,1.000
Raw prompt,001-85489,train,94,0,0,0,94,100.0,1.000
Raw prompt,001-95293,train,76,0,0,0,76,100.0,1.000
Raw prompt,001-98909,train,62,0,0,0,62,100.0,1.000
Raw prompt,001-93951,train,95,0,0,0,95,100.0,1.000
Raw prompt,001-90761,train,96,0,0,0,96,100.0,1.000
Raw prompt,001-60717,train,119,0,0,0,119,100.0,1.000
Raw prompt,001-78304,train,177,0,0,0,177,100.0,1.000
Raw prompt,001-96035,train,62,0,0,0,62,100.0,1.000
Raw prompt,001-98361,train,63,0,0,0,63,100.0,1.000
Raw prompt,001-57477,train,135,0,0,0,135,100.0,1.000
Raw prompt,001-91357,train,74,0,0,0,74,100.0,1.000
Raw prompt,001-70442,train,126,0,0,0,126,100.0,1.000
Raw prompt,001-60428,train,129,0,0,0,129,100.0,1.000
Raw prompt,001-99399,train,100,0,0,0,100,100.0,1.000
Raw prompt,001-97851,train,67,0,0,0,67,100.0,1.000
Raw prompt,001-86982,train,88,0,0,0,88,100.0,1.000
Raw prompt,001-105123,train,98,0,0,0,98,100.0,1.000
Raw prompt,001-70524,train,94,0,0,0,94,100.0,1.000
Raw prompt,001-99589,train,72,0,0,0,72,100.0,1.000
Raw prompt,001-79503,train,98,0,0,0,98,100.0,1.000
Raw prompt,001-58909,train,101,0,0,0,101,100.0,1.000
Raw prompt,001-104702,train,106,0,0,0,106,100.0,1.000
Raw prompt,001-169201,train,125,0,0,0,125,100.0,1.000
Raw prompt,001-104361,train,169,0,0,0,169,100.0,1.000
Raw prompt,001-99932,train,176,0,0,0,176,100.0,1.000
Raw prompt,001-97860,train,195,0,0,0,195,100.0,1.000
Raw prompt,001-127613,train,131,0,0,0,131,100.0,1.000
Raw prompt,001-87434,train,142,0,0,0,142,100.0,1.000
Raw prompt,001-72239,train,123,0,0,0,123,100.0,1.000
Raw prompt,001-61105,train,53,0,0,0,53,100.0,1.000
Raw prompt,001-95209,train,195,0,0,0,195,100.0,1.000
Raw prompt,001-90592,train,93,0,0,0,93,100.0,1.000
Raw prompt,001-60653,train,104,0,0,0,104,100.0,1.000
Raw prompt,001-162761,train,171,0,0,0,171,100.0,1.000
Raw prompt,001-58274,train,152,0,0,0,152,100.0,1.000
Raw prompt,001-83089,train,116,0,0,0,116,100.0,1.000
Raw prompt,001-94202,train,196,0,0,0,196,100.0,1.000
Raw prompt,001-117633,train,114,0,0,0,114,100.0,1.000
Raw prompt,001-91636,train,135,0,0,0,135,100.0,1.000
Raw prompt,001-60718,train,181,0,0,0,181,100.0,1.000
Raw prompt,001-82213,train,126,0,0,0,126,100.0,1.000
Raw prompt,001-80129,train,205,0,0,0,205,100.0,1.000
Raw prompt,001-90285,train,152,0,0,0,152,100.0,1.000
Raw prompt,001-58225,train,186,0,0,0,186,100.0,1.000
